RESOURCE TYPE,RESOURCE NAME,SOURCE,IDENTIFIER,NEW/REUSE,ADDITIONAL INFORMATION
Dataset,Cholinergic interneuron control of intrastriatal GABAergic circuits targeting spiny projection neurons is disrupted in Parkinson's disease models,DANDI Archive,https://dandiarchive.org/dandiset/001832/draft,new,Raw and primary-processed NWB/BIDS data; DANDI identifier DANDI:001832; CC-BY-4.0; draft version.
Dataset,Datasets for manuscript entitled Cholinergic interneuron control of intrastriatal GABAergic circuits targeting spiny projection neurons is disrupted in Parkinson's disease models,Zenodo,https://doi.org/10.5281/zenodo.20029445,new,Related cleaned/supplementary dataset listed in DANDI metadata.
Software/code,"Allen Mouse Brain Atlas, online version 1 (2008)",Allen Institute for Brain Science,RRID:SCR_002978; http://mouse.brain-map.org/static/atlas,reuse,Digital atlas used to determine stereotaxic coordinates.
Software/code,AutoQuant X3.0.4,MediaCybernetics,RRID:SCR_002465,reuse,Software used for image processing/analysis.
Software/code,Axograph X,Axograph Scientific,RRID:SCR_014284,reuse,Software used for electrophysiological data acquisition.
Software/code,Brain Imaging Data Structure (BIDS),BIDS,RRID:SCR_016124,reuse,Data standard listed in DANDI metadata.
Software/code,Clampex 10.7,Molecular Devices,RRID:SCR_011323,reuse,Software used for electrophysiological data acquisition; part of the pCLAMP software suite.
Software/code,Computational simulations using NEURON + PYTHON for manuscript entitled Cholinergic interneuron control of intrastriatal GABAergic circuits targeting spiny projection neurons is disrupted in Parkinson's disease models,GitHub,https://github.com/vernonclarke/msNEURON_Belal2026,new,Computational notebook/code resource listed in DANDI metadata. Add Zenodo DOI/versioned release if available before manuscript submission.
Software/code,Fiji (ImageJ) Ver 2.1.0,National Institute of Health (NIH),RRID:SCR_003070,reuse,Software used for image analysis.
Software/code,Imaris 10.0.0,Oxford Instruments,RRID:SCR_007370,reuse,Software used for microscopy image analysis.
Software/code,Neurodata Without Borders (NWB),NWB,RRID:SCR_015242,reuse,Data standard listed in DANDI metadata.
Software/code,NEURON 8.2.6,NEURON simulation environment; https://www.neuronsimulator.org,RRID:SCR_005393,reuse,Software used for computational modeling with Python.
Software/code,Nikon NIS-Elements AR 5.41.02,Nikon,RRID:SCR_014329,reuse,Software used to analyze high-resolution confocal images of sparsely labeled SPNs.
Software/code,Prairie View 5.3,Bruker,RRID:SCR_017142,reuse,Software used for two-photon imaging acquisition/analysis.
Software/code,Python 3.10 - 3.12,Python programming language; www.python.org,RRID:SCR_008394,reuse,Software used for analysis/modeling workflows.
Software/code,PYTHON and R Analysis code for manuscript entitled Cholinergic interneuron control of intrastriatal GABAergic circuits targeting spiny projection neurons is disrupted in Parkinson's disease models,GitHub,https://github.com/vernonclarke/analysis_Belal2026,new,Analysis code resource listed in DANDI metadata. Add Zenodo DOI/versioned release if available before manuscript submission.
Software/code,R 4.4 - 4.6,R Project for Statistical Computing; https://www.r-project.org/,RRID:SCR_001905,reuse,Software used for analysis workflows.
Protocol,Ex vivo imaging of genetically encoded sensors,protocols.io,https://dx.doi.org/10.17504/protocols.io.n92ldry68g5b/v1,reuse,Protocol URL listed in DANDI metadata.
