"s","condition","cell_type","charge_transfer"
"1","ctrl","dSPN",22.0047714157671
"2","ctrl","dSPN",24.3446621412168
"3","ctrl","dSPN",52.9802177594535
"4","ctrl","dSPN",15.0126408071201
"5","ctrl","dSPN",29.1857381767401
"6","ctrl","dSPN",8.49615528493083
"7","ctrl","dSPN",12.0422549456018
"8","ctrl","dSPN",27.3566421413846
"9","ctrl","dSPN",6.06845802882104
"10","ctrl","dSPN",65.2207227159837
"1","GABAzine","dSPN",5.26866967162659
"2","GABAzine","dSPN",4.67951307526108
"3","GABAzine","dSPN",4.41882349617182
"4","GABAzine","dSPN",5.45029993643714
"5","GABAzine","dSPN",4.85327033832967
"6","GABAzine","dSPN",0.459543313133808
"7","GABAzine","dSPN",1.39833424347851
"8","GABAzine","dSPN",19.4382113163178
"9","GABAzine","dSPN",4.17806309907869
"10","GABAzine","dSPN",8.73897347815018
"11","ctrl","iSPN",55.5529520244624
"12","ctrl","iSPN",49.8800865224247
"13","ctrl","iSPN",6.1703585773664
"14","ctrl","iSPN",21.7579892888166
"15","ctrl","iSPN",48.4047052204327
"16","ctrl","iSPN",68.0988984622529
"11","GABAzine","iSPN",2.75804818442944
"12","GABAzine","iSPN",2.51640007578991
"13","GABAzine","iSPN",1.92161722643641
"14","GABAzine","iSPN",5.00885438123279
"15","GABAzine","iSPN",9.6966490755663
"16","GABAzine","iSPN",5.11089784074141
