"Afast","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area","Aslow","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area"
-20.74,7.432,7.451,7.441,2.917,16.147,5.666,18.204,419.512,-20.298,3.01,110.691,11.153,3.447,153.451,8.069,89.097,2485.035
-40.701,3.945,8.127,5.54,2.151,13.344,4.696,14.138,654.04,-11.121,2.316,85.005,8.577,2.652,117.842,0,68.435,1045.684
-123.39,1.685,11.723,3.817,1.394,16.448,6.436,12.96,2003.107,-32.411,1.911,116.823,7.99,2.314,161.951,4.362,89.68,4054.373
-179.594,3.031,16.531,6.296,2.338,23.449,6.353,19.708,4344.955,-37.949,54.203,54.352,54.277,21.276,117.777,19.643,132.783,5599.033
-138.271,2.182,6.505,3.586,1.375,9.845,5.142,9.678,1560.914,-66.797,2.606,134.418,10.478,3.103,186.343,9.084,104.648,9706.684
-15.969,7.543,7.745,7.643,2.996,16.587,4.15,18.699,331.793,-2.981,20.168,75.825,36.388,13.802,111.021,20,103.057,365.236
-31.382,3.527,11.098,5.926,2.266,16.649,5.082,16.159,594.049,-20.13,3.323,120.873,12.281,3.801,167.566,6.558,97.411,2693.428
-16.752,11.34,11.773,11.554,4.529,25.078,4.4,28.268,526.204,-10.555,16.807,117.288,38.115,13.918,164.551,19.846,129.56,1713.322
-20.204,17.458,60.535,30.505,11.616,89.542,7.147,84.853,2024.401,-6.449,173.471,174.316,173.893,68.165,377.335,37.014,466.359,3048.475
-19.817,5.441,5.448,5.445,2.134,11.815,4.869,13.32,293.298,-86.816,17.612,317.013,53.898,18.082,439.625,6.03,281.885,32622.547
-6.104,7.287,7.671,7.476,2.93,16.23,6.043,18.292,124.072,-22.956,16.621,228.719,46.993,16.197,317.447,3.774,213.847,6448.17
-73.848,2.042,10.417,4.138,1.543,14.838,3.622,12.697,1144.483,-44.866,1.292,81.211,5.438,1.569,112.583,5.364,62.211,3895.942
-76.051,2.489,11.443,4.853,1.821,16.426,3.981,14.456,1329.93,-32.462,1.959,93.919,7.743,2.314,130.2,5.719,73.601,3310.801
