"s","cell_type","condition","kinetics","tau"
"1","dSPN","ctrl","fast",7.451
"2","dSPN","ctrl","fast",8.127
"3","dSPN","ctrl","fast",11.723
"4","dSPN","ctrl","fast",16.531
"5","dSPN","ctrl","fast",6.505
"6","dSPN","ctrl","fast",7.745
"7","dSPN","ctrl","fast",11.098
"8","dSPN","ctrl","fast",11.773
"9","dSPN","ctrl","fast",60.535
"10","dSPN","ctrl","fast",5.448
"11","dSPN","ctrl","fast",7.671
"12","dSPN","ctrl","fast",10.417
"13","dSPN","ctrl","fast",11.443
"1","dSPN","ctrl","slow",110.691
"2","dSPN","ctrl","slow",85.005
"3","dSPN","ctrl","slow",116.823
"4","dSPN","ctrl","slow",54.352
"5","dSPN","ctrl","slow",134.418
"6","dSPN","ctrl","slow",75.825
"7","dSPN","ctrl","slow",120.873
"8","dSPN","ctrl","slow",117.288
"9","dSPN","ctrl","slow",174.316
"10","dSPN","ctrl","slow",317.013
"11","dSPN","ctrl","slow",228.719
"12","dSPN","ctrl","slow",81.211
"13","dSPN","ctrl","slow",93.919
"14","iSPN","ctrl","fast",6.864
"15","iSPN","ctrl","fast",7.263
"16","iSPN","ctrl","fast",3.824
"17","iSPN","ctrl","fast",21.545
"18","iSPN","ctrl","fast",99.992
"19","iSPN","ctrl","fast",15.686
"14","iSPN","ctrl","slow",129.618
"15","iSPN","ctrl","slow",133.8
"16","iSPN","ctrl","slow",26.862
"17","iSPN","ctrl","slow",293.323
"18","iSPN","ctrl","slow",343.276
"19","iSPN","ctrl","slow",181.16
"22","dSPN","6OHDA","fast",62.23
"23","dSPN","6OHDA","fast",59.162
"24","dSPN","6OHDA","fast",9.66
"25","dSPN","6OHDA","fast",3.189
"26","dSPN","6OHDA","fast",10.721
"27","dSPN","6OHDA","fast",62.249
"28","dSPN","6OHDA","fast",10.927
"29","dSPN","6OHDA","fast",49.441
"22","dSPN","6OHDA","slow",276.321
"23","dSPN","6OHDA","slow",241.521
"24","dSPN","6OHDA","slow",111.171
"25","dSPN","6OHDA","slow",131.626
"26","dSPN","6OHDA","slow",39.853
"27","dSPN","6OHDA","slow",497.027
"28","dSPN","6OHDA","slow",119.77
"29","dSPN","6OHDA","slow",183.765
"28","iSPN","6OHDA","fast",91.172
"29","iSPN","6OHDA","fast",10.275
"30","iSPN","6OHDA","fast",6.171
"31","iSPN","6OHDA","fast",5.502
"32","iSPN","6OHDA","fast",5.242
"33","iSPN","6OHDA","fast",8.699
"34","iSPN","6OHDA","fast",9.667
"35","iSPN","6OHDA","fast",76.153
"36","iSPN","6OHDA","fast",138.952
"28","iSPN","6OHDA","slow",326.17
"29","iSPN","6OHDA","slow",118.579
"30","iSPN","6OHDA","slow",139.373
"31","iSPN","6OHDA","slow",151.573
"32","iSPN","6OHDA","slow",138.26
"33","iSPN","6OHDA","slow",135.556
"34","iSPN","6OHDA","slow",158.054
"35","iSPN","6OHDA","slow",189.214
"36","iSPN","6OHDA","slow",522.43
