"condition","cell_type","slice_id","field","hemisphere","field_index","replicate","count","session","session_group","Animal","Group","SliceID","var"
"Intact","NDNF+","L1.ST8_C","L1.ST8_C.UL_60x.01","UL",1,1,22,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",22
"Intact","NDNF+","L1.ST8_C","L1.ST8_C.UL_60x.01","UL",1,2,25,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",25
"Intact","NDNF+","L1.ST8_C","L1.ST8_C.UL_60x.01","UL",1,3,13,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",13
"Intact","NDNF+","L1.ST8_C","L1.ST8_C.UL_60x.01","UL",1,4,7,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",7
"Intact","NDNF+","L1.ST8_C","L1.ST8_C.UL_60x.01","UL",1,5,14,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",14
"Intact","NDNF+","L1.ST8_C","L1.ST8_C.UL_60x.02","UL",2,1,16,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",16
"Intact","NDNF+","L1.ST8_C","L1.ST8_C.UL_60x.02","UL",2,2,11,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",11
"Intact","NDNF+","L1.ST8_C","L1.ST8_C.UL_60x.03","UL",3,1,33,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",33
"Intact","NDNF+","L1.ST8_C","L1.ST8_C.UL_60x.03","UL",3,2,22,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",22
"Intact","NDNF+","L1.ST8_C","L1.ST8_C.UL_60x.03","UL",3,3,21,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",21
"Intact","NDNF+","L1.ST8_C","L1.ST8_C.UL_60x.04","UL",4,1,20,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",20
"Intact","NDNF+","L1.ST8_C","L1.ST8_C.UL_60x.04","UL",4,2,21,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",21
"Intact","NDNF+","L1.ST8_C","L1.ST8_C.UL_60x.06","UL",6,1,17,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",17
