"condition","cell_type","slice_id","field","hemisphere","field_index","replicate","count","session","session_group","Animal","Group","SliceID","var"
"Intact","TH+","L1.ST8_C","L1.ST8_C.UL_60x.02","UL",2,1,8,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",8
"Intact","TH+","L1.ST8_C","L1.ST8_C.UL_60x.03","UL",3,1,3,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",3
"Intact","TH+","L1.ST8_C","L1.ST8_C.UL_60x.05","UL",5,1,10,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",10
"Intact","TH+","L1.ST8_C","L1.ST8_C.UL_60x.05","UL",5,2,9,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",9
"Intact","TH+","L1.ST8_C","L1.ST8_C.UL_60x.05","UL",5,3,5,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",5
"Intact","TH+","L1.ST8_C","L1.ST8_C.UL_60x.05","UL",5,4,11,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",11
"Intact","TH+","L1.ST8_C","L1.ST8_C.UL_60x.06","UL",6,1,8,"L1.ST8","L1.ST8","L1","Control","L1.ST8_C",8
"Intact","TH+","L2.ST8","L2.ST8.UL_60x03","UL",3,1,14,"L2.ST8","L2.ST8","L2","Control","L2.ST8",14
"Intact","TH+","L3.ST6c","L3.ST6c.UL_60x02","UL",2,1,9,"L3.ST6","L3.ST6","L3","Control","L3.ST6c",9
"Intact","TH+","L3.ST6c","L3.ST6c.UL_60x03","UL",3,1,7,"L3.ST6","L3.ST6","L3","Control","L3.ST6c",7
"Intact","TH+","L3.ST6c","L3.ST6c.UL_60x03","UL",3,2,12,"L3.ST6","L3.ST6","L3","Control","L3.ST6c",12
"Intact","TH+","L3.ST6c","L3.ST6c.UL_60x03","UL",3,3,2,"L3.ST6","L3.ST6","L3","Control","L3.ST6c",2
"Intact","TH+","L3.ST6c","L3.ST6c.UL_60x04","UL",4,1,8,"L3.ST6","L3.ST6","L3","Control","L3.ST6c",8
"Intact","TH+","L3.ST6d","L3.ST6d.UL_60x02","UL",2,1,7,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",7
"Intact","TH+","L3.ST6d","L3.ST6d.UL_60x05","UL",5,1,6,"L3.ST6","L3.ST6","L3","Control","L3.ST6d",6
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x01","UL",1,1,5,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",5
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x01","UL",1,2,4,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",4
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x01","UL",1,3,10,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",10
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x02","UL",2,1,12,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",12
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x02","UL",2,2,9,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",9
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x03","UL",3,1,5,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",5
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x03","UL",3,2,12,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",12
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x03","UL",3,3,18,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",18
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x04","UL",4,1,10,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",10
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x04","UL",4,2,11,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",11
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x05","UL",5,1,7,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",7
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x05","UL",5,2,14,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",14
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x06","UL",6,1,5,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",5
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x07","UL",7,1,3,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",3
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x07","UL",7,2,5,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",5
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x08","UL",8,1,7,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",7
"Intact","TH+","L4.ST8.B","L4.ST8.B.UL_60x08","UL",8,2,10,"L4.ST8","L4.ST8","L4","Control","L4.ST8.B",10
"Intact","TH+","L4.ST8.C","L4.ST8.C.UL_60x01","UL",1,1,11,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",11
"Intact","TH+","L4.ST8.C","L4.ST8.C.UL_60x02","UL",2,1,6,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",6
"Intact","TH+","L4.ST8.C","L4.ST8.C.UL_60x03","UL",3,1,6,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",6
"Intact","TH+","L4.ST8.C","L4.ST8.C.UL_60x04","UL",4,1,11,"L4.ST8","L4.ST8","L4","Control","L4.ST8.C",11
