"s","condition","amplitude"
"1","control",-127.512381447317
"2","control",-109.228124120306
"3","control",-748.178576667583
"4","control",-125.337710901098
"5","control",-30.267372758149
"6","control",-59.4666633634446
"7","control",-166.599937514317
"8","6OHDA",-26.048775666089
"9","6OHDA",-16.5967004410189
"10","6OHDA",-133.723750326427
"11","6OHDA",-78.4471474879617
"12","6OHDA",-108.760549368465
"13","6OHDA",-40.0515548531679
"14","6OHDA",-104.607940133258
"15","6OHDA",-37.3203542897251
"16","6OHDA",-86.0928507285173
"17","6OHDA",-20.4249707861466
"18","6OHDA",-108.308706846268
