"s","condition","charge_transfer"
"1","control",11.8860065155231
"2","control",13.2113201732773
"3","control",57.63713868084
"4","control",5.83498507441563
"5","control",2.65121569438649
"6","control",4.20223856993564
"7","control",7.72959069731725
"8","6OHDA",1.37625725884998
"9","6OHDA",0.607255525356132
"10","6OHDA",7.19953426497406
"11","6OHDA",3.01046738630736
"12","6OHDA",6.46149017161129
"13","6OHDA",0.871170612918506
"14","6OHDA",2.5859715568604
"15","6OHDA",2.35728504428506
"16","6OHDA",5.58081638531606
"17","6OHDA",1.72325675408715
"18","6OHDA",1.12082392137299
