condition,cell_type,slice_id,field,hemisphere,field_index,replicate,count,session,session_group
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.01,UL,1,1,22,L1.ST8,L1.ST8
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.01,UL,1,2,25,L1.ST8,L1.ST8
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.01,UL,1,3,13,L1.ST8,L1.ST8
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.01,UL,1,4,7,L1.ST8,L1.ST8
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.01,UL,1,5,14,L1.ST8,L1.ST8
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.02,UL,2,1,16,L1.ST8,L1.ST8
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.02,UL,2,2,11,L1.ST8,L1.ST8
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.03,UL,3,1,33,L1.ST8,L1.ST8
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.03,UL,3,2,22,L1.ST8,L1.ST8
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.03,UL,3,3,21,L1.ST8,L1.ST8
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.04,UL,4,1,20,L1.ST8,L1.ST8
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.04,UL,4,2,21,L1.ST8,L1.ST8
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.06,UL,6,1,17,L1.ST8,L1.ST8
Intact,NDNF+,L1.ST8_C,L1.ST8_C.UL_60x.06,UL,6,2,14,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.01,L,1,1,15,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.01,L,1,2,16,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.01,L,1,3,15,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.01,L,1,4,4,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.01,L,1,5,7,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.02,L,2,1,17,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.02,L,2,2,13,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.02,L,2,3,16,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.03,L,3,1,10,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.03,L,3,2,6,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.03,L,3,3,11,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.03,L,3,4,11,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.03,L,3,5,5,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.03,L,3,6,19,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.04,L,4,1,25,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.04,L,4,2,28,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.05,L,5,1,9,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.05,L,5,2,19,L1.ST8,L1.ST8
Lesioned,NDNF+,L1.ST8_C,L1.ST8_C.L_60x.06,L,6,1,8,L1.ST8,L1.ST8
Intact,TH+,L1.ST8_C,L1.ST8_C.UL_60x.02,UL,2,1,8,L1.ST8,L1.ST8
Intact,TH+,L1.ST8_C,L1.ST8_C.UL_60x.03,UL,3,1,3,L1.ST8,L1.ST8
Intact,TH+,L1.ST8_C,L1.ST8_C.UL_60x.05,UL,5,1,10,L1.ST8,L1.ST8
Intact,TH+,L1.ST8_C,L1.ST8_C.UL_60x.05,UL,5,2,9,L1.ST8,L1.ST8
Intact,TH+,L1.ST8_C,L1.ST8_C.UL_60x.05,UL,5,3,5,L1.ST8,L1.ST8
Intact,TH+,L1.ST8_C,L1.ST8_C.UL_60x.05,UL,5,4,11,L1.ST8,L1.ST8
Intact,TH+,L1.ST8_C,L1.ST8_C.UL_60x.06,UL,6,1,8,L1.ST8,L1.ST8
Lesioned,TH+,L1.ST8_C,L1.ST8_C.L_60x.03,L,3,1,4,L1.ST8,L1.ST8
Lesioned,TH+,L1.ST8_C,L1.ST8_C.L_60x.03,L,3,2,5,L1.ST8,L1.ST8
Lesioned,TH+,L1.ST8_C,L1.ST8_C.L_60x.04,L,4,1,5,L1.ST8,L1.ST8
Lesioned,TH+,L1.ST8_C,L1.ST8_C.L_60x.04,L,4,2,3,L1.ST8,L1.ST8
Lesioned,TH+,L1.ST8_C,L1.ST8_C.L_60x.04,L,4,3,6,L1.ST8,L1.ST8
Lesioned,TH+,L1.ST8_C,L1.ST8_C.L_60x.05,L,5,1,4,L1.ST8,L1.ST8
Intact,NDNF+,L2.ST8,L2.ST8.UL_60x01,UL,1,1,20,L2.ST8,L2.ST8
Intact,NDNF+,L2.ST8,L2.ST8.UL_60x01,UL,1,2,27,L2.ST8,L2.ST8
Intact,NDNF+,L2.ST8,L2.ST8.UL_60x01,UL,1,3,29,L2.ST8,L2.ST8
Intact,NDNF+,L2.ST8,L2.ST8.UL_60x01,UL,1,4,31,L2.ST8,L2.ST8
Intact,NDNF+,L2.ST8,L2.ST8.UL_60x01,UL,1,5,17,L2.ST8,L2.ST8
Intact,NDNF+,L2.ST8,L2.ST8.UL_60x02,UL,2,1,16,L2.ST8,L2.ST8
Intact,NDNF+,L2.ST8,L2.ST8.UL_60x02,UL,2,2,13,L2.ST8,L2.ST8
Intact,NDNF+,L2.ST8,L2.ST8.UL_60x02,UL,2,3,23,L2.ST8,L2.ST8
Intact,NDNF+,L2.ST8,L2.ST8.UL_60x02,UL,2,4,21,L2.ST8,L2.ST8
Intact,NDNF+,L2.ST8,L2.ST8.UL_60x02,UL,2,5,17,L2.ST8,L2.ST8
Intact,NDNF+,L2.ST8,L2.ST8.UL_60x03,UL,3,1,14,L2.ST8,L2.ST8
Intact,NDNF+,L2.ST8,L2.ST8.UL_60x03,UL,3,2,12,L2.ST8,L2.ST8
Intact,NDNF+,L2.ST8,L2.ST8.UL_60x03,UL,3,3,12,L2.ST8,L2.ST8
Lesioned,NDNF+,L2.ST8,L2.ST8.L_60x01,L,1,1,8,L2.ST8,L2.ST8
Lesioned,NDNF+,L2.ST8,L2.ST8.L_60x01,L,1,2,19,L2.ST8,L2.ST8
Lesioned,NDNF+,L2.ST8,L2.ST8.L_60x01,L,1,3,25,L2.ST8,L2.ST8
Lesioned,NDNF+,L2.ST8,L2.ST8.L_60x01,L,1,4,11,L2.ST8,L2.ST8
Lesioned,NDNF+,L2.ST8,L2.ST8.L_60x02,L,2,1,10,L2.ST8,L2.ST8
Lesioned,NDNF+,L2.ST8,L2.ST8.L_60x02,L,2,2,11,L2.ST8,L2.ST8
Lesioned,NDNF+,L2.ST8,L2.ST8.L_60x02,L,2,3,12,L2.ST8,L2.ST8
Lesioned,NDNF+,L2.ST8,L2.ST8.L_60x02,L,2,4,7,L2.ST8,L2.ST8
Lesioned,NDNF+,L2.ST8,L2.ST8.L_60x03,L,3,1,7,L2.ST8,L2.ST8
Lesioned,NDNF+,L2.ST8,L2.ST8.L_60x03,L,3,2,15,L2.ST8,L2.ST8
Lesioned,NDNF+,L2.ST8,L2.ST8.L_60x03,L,3,3,16,L2.ST8,L2.ST8
Intact,TH+,L2.ST8,L2.ST8.UL_60x03,UL,3,1,14,L2.ST8,L2.ST8
Lesioned,TH+,L2.ST8,L2.ST8.L_60x04,L,4,1,1,L2.ST8,L2.ST8
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x01,UL,1,1,17,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x01,UL,1,2,23,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x01,UL,1,3,15,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x01,UL,1,4,36,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x01,UL,1,5,21,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x02,UL,2,1,22,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x02,UL,2,2,15,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x02,UL,2,3,35,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x03,UL,3,1,39,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x03,UL,3,2,39,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x03,UL,3,3,22,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x04,UL,4,1,18,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x04,UL,4,2,35,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6c,L3.ST6c.UL_60x04,UL,4,3,21,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6d,L3.ST6d.UL_60x01,UL,1,1,17,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6d,L3.ST6d.UL_60x01,UL,1,2,12,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6d,L3.ST6d.UL_60x01,UL,1,3,24,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6d,L3.ST6d.UL_60x02,UL,2,1,20,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6d,L3.ST6d.UL_60x02,UL,2,2,41,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6d,L3.ST6d.UL_60x02,UL,2,3,27,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6d,L3.ST6d.UL_60x02,UL,2,4,21,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6d,L3.ST6d.UL_60x02,UL,2,5,20,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6d,L3.ST6d.UL_60x03,UL,3,1,29,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6d,L3.ST6d.UL_60x04,UL,4,1,16,L3.ST6,L3.ST6
Intact,NDNF+,L3.ST6d,L3.ST6d.UL_60x04,UL,4,2,25,L3.ST6,L3.ST6
