"s","kinetics","cell_type","amplitude"
"1","fast","dSPN",-88.305
"2","fast","dSPN",-88.606
"3","fast","dSPN",-79.712
"4","fast","dSPN",-69.261
"5","fast","dSPN",-132.419
"6","fast","dSPN",-51.147
"7","fast","dSPN",-101.555
"8","fast","dSPN",-23.844
"9","fast","dSPN",-3.217
"10","fast","dSPN",-127.557
"1","slow","dSPN",-117.851
"2","slow","dSPN",-70.643
"3","slow","dSPN",-210.653
"4","slow","dSPN",-41.612
"5","slow","dSPN",-177.149
"6","slow","dSPN",-45.042
"7","slow","dSPN",-86.024
"8","slow","dSPN",-10.815
"9","slow","dSPN",-10.282
"10","slow","dSPN",-272.359
"11","fast","iSPN",-65.476
"12","fast","iSPN",-73.551
"13","fast","iSPN",-26.094
"14","fast","iSPN",-81.963
"15","fast","iSPN",-80.942
"16","fast","iSPN",-88.302
"11","slow","iSPN",-221.043
"12","slow","iSPN",-205.394
"13","slow","iSPN",-19.98
"14","slow","iSPN",-162.985
"15","slow","iSPN",-140.761
"16","slow","iSPN",-177.971
