"s","condition","cell_type","amplitude"
"1","GABAzine sensitive","dSPN",-129.368686889171
"2","GABAzine sensitive","dSPN",-121.650425537019
"3","GABAzine sensitive","dSPN",-228.968403431225
"4","GABAzine sensitive","dSPN",-105.65555324986
"5","GABAzine sensitive","dSPN",-181.584464031451
"6","GABAzine sensitive","dSPN",-99.3925123689528
"7","GABAzine sensitive","dSPN",-154.835157033745
"8","GABAzine sensitive","dSPN",-37.9114158425335
"9","GABAzine sensitive","dSPN",-14.8708082129453
"10","GABAzine sensitive","dSPN",-274.481635725843
"11","GABAzine sensitive","iSPN",-230.621265901547
"12","GABAzine sensitive","iSPN",-208.822560882242
"13","GABAzine sensitive","iSPN",-42.4324931017523
"14","GABAzine sensitive","iSPN",-245.885876992923
"15","GABAzine sensitive","iSPN",-148.32061063093
"16","GABAzine sensitive","iSPN",-202.601827535133
