"x","y","yfilter","yfit","yfit1","yfit2"
0,-2.48256824145934,-2.48256824145934,0,0,0
0.1,-3.33706038837314,-3.33706038837314,0,0,0
0.2,-3.19057602033078,-3.19057602033078,0,0,0
0.3,-3.75209943115984,-3.75209943115984,0,0,0
0.4,-2.6290526095017,-2.6290526095017,0,0,0
0.5,-1.89663076928987,-1.89663076928987,0,0,0
0.6,-1.67690421722633,-1.67690421722633,0,0,0
0.7,-2.75112291620368,-2.75112291620368,0,0,0
0.8,-3.0685057136288,-3.0685057136288,0,0,0
0.9,-3.63002912445788,-3.63002912445788,0,0,0
1,-4.26479471930813,-4.26479471930813,0,0,0
1.1,-2.06752919867263,-2.06752919867263,0,0,0
1.2,-3.60561506311748,-3.60561506311748,0,0,0
1.3,-3.82534161518103,-3.82534161518103,0,0,0
1.4,-4.24038065796773,-4.24038065796773,0,0,0
1.5,-4.87514625281798,-4.87514625281798,0,0,0
1.6,-3.70327130847906,-3.70327130847906,0,0,0
1.7,-1.99428701465146,-1.99428701465146,0,0,0
1.8,-2.84877916156526,-2.84877916156526,0,0,0
1.9,-3.31264632703275,-3.31264632703275,0,0,0
2,-3.33706038837314,-3.33706038837314,0,0,0
2.1,-2.87319322290565,-2.87319322290565,0,0,0
2.2,-3.67885724713866,-3.67885724713866,0,0,0
2.3,-4.53334939405246,-4.53334939405246,0,0,0
2.4,-4.19155253528694,-4.19155253528694,0,0,0
2.5,-3.63002912445787,-3.63002912445787,0,0,0
2.6,-2.58022448682091,-2.58022448682091,0,0,0
2.7,-2.94643540692683,-2.94643540692683,0,0,0
2.8,-3.36147444971354,-3.36147444971354,0,0,0
2.9,-3.53237287909629,-3.53237287909629,0,0,0
3,-3.4835447564155,-3.4835447564155,0,0,0
3.1,-2.55581042548052,-2.55581042548052,0,0,0
3.2,-2.6534666708421,-2.6534666708421,0,0,0
3.3,-2.87319322290565,-2.87319322290565,0,0,0
3.4,-1.70131827856672,-1.70131827856672,0,0,0
3.5,-3.28823226569235,-3.28823226569235,0,0,0
3.6,-3.77651349250024,-3.77651349250024,0,0,0
3.7,-3.63002912445787,-3.63002912445787,0,0,0
3.8,-1.60366203320514,-1.60366203320514,0,0,0
3.9,-3.0440916522884,-3.0440916522884,0,0,0
4,-3.38588851105393,-3.38588851105393,0,0,0
4.1,-1.92104483063027,-1.92104483063027,0,0,0
4.2,-1.40834954248199,-1.40834954248199,0,0,0
4.3,-2.40932605743816,-2.40932605743816,0,0,0
4.4,-4.06948222858497,-4.06948222858497,0,0,0
4.5,-3.99624004456379,-3.99624004456379,0,0,0
4.6,-2.6534666708421,-2.6534666708421,0,0,0
4.7,-2.99526352960762,-2.99526352960762,0,0,0
4.8,-2.89760728424604,-2.89760728424604,0,0,0
4.9,-3.72768536981945,-3.72768536981945,0,0,0
5,-4.3868650260101,-4.3868650260101,0,0,0
5.1,-2.89760728424604,-2.89760728424604,0,0,0
5.2,-1.92104483063027,-1.92104483063027,0,0,0
5.3,-1.89663076928987,-1.89663076928987,0,0,0
5.4,-2.58022448682092,-2.58022448682092,0,0,0
5.5,-3.31264632703274,-3.31264632703274,0,0,0
5.6,-1.57924797186475,-1.57924797186475,0,0,0
5.7,-2.31166981207658,-2.31166981207658,0,0,0
5.8,-1.40834954248199,-1.40834954248199,0,0,0
5.9,-1.40834954248199,-1.40834954248199,0,0,0
6,-4.09389628992537,-4.09389628992537,0,0,0
6.1,-2.18959950537461,-2.18959950537461,0,0,0
6.2,-1.62807609454554,-1.62807609454554,0,0,0
6.3,-0.773583947631735,-0.773583947631735,0,0,0
6.4,-2.60463854816131,-2.60463854816131,0,0,0
6.5,-3.23940414301156,-3.23940414301156,0,0,0
6.6,-3.45913069507511,-3.45913069507511,0,0,0
6.7,-2.214013566715,-2.214013566715,0,0,0
6.8,-2.82436510022486,-2.82436510022486,0,0,0
