"s","condition","cell_type","tau"
"1","fast","dSPN",3.942
"2","fast","dSPN",7.1
"3","fast","dSPN",31.399
"4","fast","dSPN",13.383
"5","fast","dSPN",2.723
"6","fast","dSPN",6.28
"7","fast","dSPN",7.671
"8","fast","dSPN",8.711
"9","fast","dSPN",2.969
"10","fast","dSPN",3.991
"1","slow","dSPN",97.056
"2","slow","dSPN",259.004
"3","slow","dSPN",157.532
"4","slow","dSPN",186.091
"5","slow","dSPN",90.084
"6","slow","dSPN",117.152
"7","slow","dSPN",75.015
"8","slow","dSPN",595.574
"9","slow","dSPN",230.012
"10","slow","dSPN",125.422
"11","fast","iSPN",10.032
"12","fast","iSPN",4.971
"13","fast","iSPN",6.91
"14","fast","iSPN",6.06
"15","fast","iSPN",4.712
"16","fast","iSPN",5.128
"11","slow","iSPN",168.395
"12","slow","iSPN",172.792
"13","slow","iSPN",140.667
"14","slow","iSPN",71.321
"15","slow","iSPN",141.793
"16","slow","iSPN",232.987
