"Afast","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area","Aslow","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area"
-89.478,4.162,30.244,9.572,3.485,42.377,4.538,33.021,3713.756,-46.72,8.136,106.397,22.649,7.845,147.713,23.169,100.525,6150.049
-102.475,1.129,18.499,3.362,1.139,25.659,8.671,16.726,2273.531,-38.202,1.354,160.435,6.522,1.726,222.411,4.466,118.197,6383.152
-111.502,1.021,9.396,2.542,0.909,13.093,8.859,9.625,1373.204,-129.494,1.099,58.502,4.452,1.313,81.102,4.437,45.422,8174.684
-82.918,3.56,3.567,3.563,1.397,7.732,5.037,8.717,803.162,-117.639,11.302,88.266,26.64,9.646,123.425,10.692,94.433,14041.891
-67.201,2.567,10.365,4.762,1.8,15.056,9.372,13.718,1102.728,-60.572,1.563,65.992,5.992,1.82,91.485,5.062,52.352,4377.214
-330.918,1.483,10.825,3.416,1.243,15.165,9.869,11.803,4911.133,-170.532,13.154,65.507,26.424,9.869,93.463,4.316,80.502,16721.646
-169.987,1.013,13.276,2.822,0.977,18.431,9.24,12.538,2791.281,-99.571,12.316,80.909,27.346,10.029,113.76,3.892,90.988,11295.804
-107.18,5.78,5.796,5.788,2.269,12.559,4.318,14.159,1686.208,-23.843,10.163,36.275,17.964,6.831,53.454,20.461,50.285,1419.167
-30.233,2.186,2.191,2.188,0.858,4.748,9.4,5.353,179.82,-233.229,14.865,93.223,32.47,11.947,131.321,4.964,106.328,30801.338
-75.489,5.465,11.706,7.808,3.028,19.022,4.856,20.02,1721.79,-41.947,4.939,102.363,15.731,5.198,141.928,3.436,88.924,5007.153
