"s","drug","condition","amplitude"
"1","AP5+NBQX+CGP55845A","ctrl",-237.620024520946
"2","AP5+NBQX+CGP55845A","ctrl",-138.758538331198
"3","AP5+NBQX+CGP55845A","ctrl",-301.644272782041
"4","AP5+NBQX+CGP55845A","ctrl",-382.517682026697
"5","AP5+NBQX+CGP55845A","ctrl",-173.573803604645
"6","AP5+NBQX+CGP55845A","ctrl",-395.808391844642
"7","AP5+NBQX+CGP55845A","ctrl",-204.497670950945
"8","AP5+NBQX+CGP55845A","test",-98.2346551648334
"9","AP5+NBQX+CGP55845A","test",-145.931186102495
"10","AP5+NBQX+CGP55845A","test",-244.039905400914
"11","AP5+NBQX+CGP55845A","test",-123.740025047143
"12","AP5+NBQX+CGP55845A","test",-129.712111352026
"13","AP5+NBQX+CGP55845A","test",-455.834634110735
"14","AP5+NBQX+CGP55845A","test",-242.046497292471
"15","AP5+NBQX+CGP55845A","test",-123.530267570127
"16","AP5+NBQX+CGP55845A","test",-236.64508967142
"17","AP5+NBQX+CGP55845A","test",-124.395949495155
