"s","kinetics","condition","charge_transfer"
"1","fast","ctrl",1.256568
"2","fast","ctrl",0.772207
"3","fast","ctrl",1.179683
"4","fast","ctrl",1.475159
"5","fast","ctrl",0.405432
"6","fast","ctrl",17.830022
"7","fast","ctrl",0.726744
"1","slow","ctrl",28.771237
"2","slow","ctrl",14.018046
"3","slow","ctrl",35.000992
"4","slow","ctrl",25.424875
"5","slow","ctrl",16.169948
"6","slow","ctrl",55.202948
"7","slow","ctrl",24.414292
"8","fast","test",3.713756
"9","fast","test",2.273531
"10","fast","test",1.373204
"11","fast","test",0.803162
"12","fast","test",1.102728
"13","fast","test",4.911133
"14","fast","test",2.791281
"15","fast","test",1.686208
"16","fast","test",0.17982
"17","fast","test",1.72179
"8","slow","test",6.150049
"9","slow","test",6.383152
"10","slow","test",8.174684
"11","slow","test",14.041891
"12","slow","test",4.377214
"13","slow","test",16.721646
"14","slow","test",11.295804
"15","slow","test",1.419167
"16","slow","test",30.801338
"17","slow","test",5.007153
