"s","drug","condition","charge_transfer"
"1","AP5+NBQX+CGP55845A","ctrl",31.2154797541769
"2","AP5+NBQX+CGP55845A","ctrl",14.0513305122259
"3","AP5+NBQX+CGP55845A","ctrl",40.1728409843783
"4","AP5+NBQX+CGP55845A","ctrl",29.3075356299784
"5","AP5+NBQX+CGP55845A","ctrl",19.4271771096989
"6","AP5+NBQX+CGP55845A","ctrl",75.6951948771197
"7","AP5+NBQX+CGP55845A","ctrl",27.82548151511
"8","AP5+NBQX+CGP55845A","test",11.633476230076
"9","AP5+NBQX+CGP55845A","test",7.52632212728291
"10","AP5+NBQX+CGP55845A","test",12.6895634211963
"11","AP5+NBQX+CGP55845A","test",16.6502579621973
"12","AP5+NBQX+CGP55845A","test",7.68197419829497
"13","AP5+NBQX+CGP55845A","test",28.7583309438286
"14","AP5+NBQX+CGP55845A","test",16.3886761982431
"15","AP5+NBQX+CGP55845A","test",3.53107904353611
"16","AP5+NBQX+CGP55845A","test",33.4132579784883
"17","AP5+NBQX+CGP55845A","test",9.48299487322199
