"s","kinetics","condition","tau"
"1","fast","ctrl",5.357
"2","fast","ctrl",5.747
"3","fast","ctrl",4.137
"4","fast","ctrl",4.164
"5","fast","ctrl",1.994
"6","fast","ctrl",22.139
"7","fast","ctrl",2.69
"1","slow","ctrl",100.599
"2","slow","ctrl",100.255
"3","slow","ctrl",83.32
"4","slow","ctrl",70.111
"5","slow","ctrl",85.98
"6","slow","ctrl",78.783
"7","slow","ctrl",105.063
"8","fast","test",30.244
"9","fast","test",18.499
"10","fast","test",9.396
"11","fast","test",3.567
"12","fast","test",10.365
"13","fast","test",10.825
"14","fast","test",13.276
"15","fast","test",5.796
"16","fast","test",2.191
"17","fast","test",11.706
"8","slow","test",106.397
"9","slow","test",160.435
"10","slow","test",58.502
"11","slow","test",88.266
"12","slow","test",65.992
"13","slow","test",65.507
"14","slow","test",80.909
"15","slow","test",36.275
"16","slow","test",93.223
"17","slow","test",102.363
