"Animal","Slice","ROI","Condition","dff","SliceID"
1,1,1,"Control",0.695057762874616,1
1,1,2,"Control",0.78729653159066,1
1,1,3,"Control",0.69555416501267,1
1,1,4,"Control",0.723619044669308,1
1,2,1,"Control",0.328799652744423,2
1,2,2,"Control",0.395355492738837,2
1,2,3,"Control",0.164047453262065,2
1,2,4,"Control",0.586427179082221,2
1,3,1,"Control",0.59613957823363,3
1,3,2,"Control",0.473512440638535,3
2,1,1,"Control",0.414753033308654,4
2,1,2,"Control",0.40316093515798,4
2,1,3,"Control",0.556435166023506,4
2,1,4,"Control",0.463487879634615,4
2,2,1,"Control",0.199777263750794,5
2,2,3,"Control",0.166199397934353,5
2,2,4,"Control",0.107012674650367,5
2,3,1,"Control",0.145849076486012,6
2,3,2,"Control",0.17965967217946,6
2,3,3,"Control",0.148811750752475,6
3,1,1,"Control",0.595842031841482,7
3,1,2,"Control",0.601325884497527,7
3,1,3,"Control",0.842842729216644,7
3,1,4,"Control",0.730161539683515,7
3,2,1,"Control",0.954175634383398,8
3,2,2,"Control",0.886827043297335,8
3,2,3,"Control",0.826685869699832,8
3,2,4,"Control",0.87658995737862,8
3,2,5,"Control",0.650885320364582,8
3,2,6,"Control",0.513457679545977,8
4,1,1,"MCI-Park",0.796746349189072,9
4,1,2,"MCI-Park",1.29134344818287,9
4,1,3,"MCI-Park",0.934087187218075,9
4,3,1,"MCI-Park",0.900732598721896,10
4,3,3,"MCI-Park",0.809422592345327,10
4,4,1,"MCI-Park",0.75659447335562,11
4,4,2,"MCI-Park",0.756197515907305,11
4,4,3,"MCI-Park",0.873167323420743,11
4,4,4,"MCI-Park",0.776420559023679,11
4,4,5,"MCI-Park",0.485963883745875,11
5,1,1,"MCI-Park",0.473956400234115,12
5,1,2,"MCI-Park",0.817460678059538,12
5,1,3,"MCI-Park",0.920187580356803,12
5,1,4,"MCI-Park",0.719752992020638,12
5,1,5,"MCI-Park",0.503134007748696,12
5,1,6,"MCI-Park",0.367891691106806,12
5,2,1,"MCI-Park",0.411937939192179,13
5,2,2,"MCI-Park",0.616635130121436,13
5,2,3,"MCI-Park",0.711447807819128,13
5,2,4,"MCI-Park",0.359822305451361,13
5,3,1,"MCI-Park",0.543748644670769,14
5,3,2,"MCI-Park",0.563762295194416,14
5,3,3,"MCI-Park",0.634885876354436,14
5,3,4,"MCI-Park",1.02817660820455,14
5,4,1,"MCI-Park",0.767580078585804,15
5,4,2,"MCI-Park",0.593085954693273,15
