"s","condition","cell_type","amplitude"
"1","fast","ctrl",-100.262
"2","fast","ctrl",-89.222
"3","fast","ctrl",-44.309
"4","fast","ctrl",-71.638
"5","fast","ctrl",-30.31
"6","fast","ctrl",-112.088
"7","fast","ctrl",-54.341
"8","fast","ctrl",-42.51
"1","slow","ctrl",-148.46
"2","slow","ctrl",-224.536
"3","slow","ctrl",-98.728
"4","slow","ctrl",-144.206
"5","slow","ctrl",-60.592
"6","slow","ctrl",-255.573
"7","slow","ctrl",-88.457
"8","slow","ctrl",-108.88
"9","fast","test",-2.656
"10","fast","test",-4.075
"11","fast","test",-3.612
"12","fast","test",-9.975
"13","fast","test",-3.465
"14","fast","test",-1.963
"9","slow","test",-7.196
"10","slow","test",-4.534
"11","slow","test",-14.271
"12","slow","test",-12.413
"13","slow","test",-6.858
"14","slow","test",-3.243
