"x","y","yfilter","yfit","yfit1","yfit2"
0,1.1040526819353,1.1040526819353,0,0,0
0.1,-0.238720691786375,-0.238720691786375,0,0,0
0.2,-2.65571276448542,-2.65571276448542,0,0,0
0.3,-1.87446280159279,-1.87446280159279,0,0,0
0.4,-2.14301747633714,-2.14301747633714,0,0,0
0.5,-2.46040027376226,-2.46040027376226,0,0,0
0.6,-2.55805651912384,-2.55805651912384,0,0,0
0.7,-0.409619121169138,-0.409619121169138,0,0,0
0.8,1.49467766338161,1.49467766338161,0,0,0
0.9,2.25151356493385,2.25151356493385,0,0,0
1,4.54643533093092,4.54643533093092,0,0,0
1.1,3.05717758916685,3.05717758916685,0,0,0
1.2,-2.50922839644305,-2.50922839644305,0,0,0
1.3,-4.58442361037657,-4.58442361037657,0,0,0
1.4,-1.06879877735979,-1.06879877735979,0,0,0
1.5,1.10405268193531,1.10405268193531,0,0,0
1.6,-0.434033182509532,-0.434033182509532,0,0,0
1.7,-2.16743153767752,-2.16743153767752,0,0,0
1.8,-2.14301747633713,-2.14301747633713,0,0,0
1.9,-0.409619121169141,-0.409619121169141,0,0,0
2,-1.14204096138096,-1.14204096138096,0,0,0
2.1,-1.53266594282728,-1.53266594282728,0,0,0
2.2,0.396044903063881,0.396044903063881,0,0,0
2.3,0.225146473681104,0.225146473681104,0,0,0
2.4,2.12944325823186,2.12944325823186,0,0,0
2.5,2.20268544225305,2.20268544225305,0,0,0
2.6,0.249560535021499,0.249560535021499,0,0,0
2.7,-1.80122061757162,-1.80122061757162,0,0,0
2.8,-2.02094716963517,-2.02094716963517,0,0,0
2.9,0.786669884510187,0.786669884510187,0,0,0
3,-0.385205059828749,-0.385205059828749,0,0,0
3.1,-1.04438471601939,-1.04438471601939,0,0,0
3.2,-1.45942375880609,-1.45942375880609,0,0,0
3.3,-1.28852532942333,-1.28852532942333,0,0,0
3.4,-0.678173795913475,-0.678173795913475,0,0,0
3.5,0.908740191212163,0.908740191212163,0,0,0
