"Afast","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area","Aslow","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area"
-56.519,3.86,3.866,3.863,1.514,8.382,18.349,9.45,593.474,-210.523,24.708,226.401,61.438,21.963,315.517,11.708,232.182,62521.669
-255.239,3.819,16.579,7.285,2.743,23.916,15.642,21.374,6566.786,-433.48,26.791,136.782,54.317,20.255,194.827,17.9,166.685,88198.384
-34.34,2.507,2.509,2.508,0.983,5.442,21.783,6.135,234.094,-145.192,24.431,152.212,53.24,19.598,214.479,11.503,173.96,31354.402
-291.374,19.742,23.672,21.588,8.457,47.155,0,52.952,17169.174,-532.137,49.593,256.724,101.061,37.653,365.337,0,311.411,202512.348
-336.909,1.399,12.237,3.426,1.229,17.068,13.833,12.7,5454.644,-508.551,20.904,141.027,46.85,17.149,198.091,10.827,157.342,99980.051
-180.028,2.521,6.184,3.819,1.475,9.724,12.428,9.976,2064.51,-238.322,14.853,129.534,36.334,13.042,180.683,9.087,134.542,40866.579
-80.479,2.686,8.855,4.6,1.756,13.192,17.954,12.659,1198.019,-83.755,17.66,138.627,41.7,15.093,193.821,14.254,148.104,15685.412
-11.571,8.829,9.152,8.989,3.523,19.51,7.458,21.992,282.773,-56.619,12.564,339.811,43.021,13.796,471.092,17.429,283.945,21836.571
-8.834,4.909,5.082,4.995,1.958,10.84,7.265,12.22,119.949,-44.599,4.02,208.204,16.18,4.789,288.632,17.469,162.036,10035.976
-27.649,4.184,10.879,6.497,2.503,16.896,6.483,17.124,546.552,-8.092,15.383,95.482,33.478,12.326,134.563,0.499,109.25,1097.13
