"s","cell_type","condition","kinetics","amplitude"
"1","dSPN","ctrl","fast",-56.519
"2","dSPN","ctrl","fast",-255.239
"3","dSPN","ctrl","fast",-34.34
"4","dSPN","ctrl","fast",-291.374
"5","dSPN","ctrl","fast",-336.909
"6","dSPN","ctrl","fast",-180.028
"7","dSPN","ctrl","fast",-80.479
"8","dSPN","ctrl","fast",-11.571
"9","dSPN","ctrl","fast",-8.834
"10","dSPN","ctrl","fast",-27.649
"1","dSPN","ctrl","slow",-210.523
"2","dSPN","ctrl","slow",-433.48
"3","dSPN","ctrl","slow",-145.192
"4","dSPN","ctrl","slow",-532.137
"5","dSPN","ctrl","slow",-508.551
"6","dSPN","ctrl","slow",-238.322
"7","dSPN","ctrl","slow",-83.755
"8","dSPN","ctrl","slow",-56.619
"9","dSPN","ctrl","slow",-44.599
"10","dSPN","ctrl","slow",-8.092
"11","iSPN","ctrl","fast",-163.623
"12","iSPN","ctrl","fast",-84.247
"13","iSPN","ctrl","fast",-11.687
"14","iSPN","ctrl","fast",-72.115
"15","iSPN","ctrl","fast",-73.373
"16","iSPN","ctrl","fast",-55.194
"11","iSPN","ctrl","slow",-502.946
"12","iSPN","ctrl","slow",-365.648
"13","iSPN","ctrl","slow",-69.1
"14","iSPN","ctrl","slow",-160.548
"15","iSPN","ctrl","slow",-241.665
"16","iSPN","ctrl","slow",-143.395
"20","dSPN","6OHDA","fast",-12.48
"21","dSPN","6OHDA","fast",0
"22","dSPN","6OHDA","fast",-13.21
"23","dSPN","6OHDA","fast",-5.708
"24","dSPN","6OHDA","fast",-13.978
"25","dSPN","6OHDA","fast",-22.285
"26","dSPN","6OHDA","fast",-11.396
"27","dSPN","6OHDA","fast",-6.091
"28","dSPN","6OHDA","fast",-0.972
"20","dSPN","6OHDA","slow",-53.077
"21","dSPN","6OHDA","slow",-104.272
"22","dSPN","6OHDA","slow",-27.725
"23","dSPN","6OHDA","slow",-2.411
"24","dSPN","6OHDA","slow",-29.445
"25","dSPN","6OHDA","slow",-28.608
"26","dSPN","6OHDA","slow",-5.356
"27","dSPN","6OHDA","slow",-3.474
"28","dSPN","6OHDA","slow",-1.444
"26","iSPN","6OHDA","fast",-6.366
"27","iSPN","6OHDA","fast",0
"28","iSPN","6OHDA","fast",-12.837
"29","iSPN","6OHDA","fast",-19.727
"30","iSPN","6OHDA","fast",-7.15
"26","iSPN","6OHDA","slow",0
"27","iSPN","6OHDA","slow",-8.239
"28","iSPN","6OHDA","slow",-18.058
"29","iSPN","6OHDA","slow",-21.597
"30","iSPN","6OHDA","slow",-14.631
