"x","y","yfilter","yfit","yfit1","yfit2"
0,0.868499714607847,0.868499714607847,0,0,0
0.1,0.136077874396023,0.136077874396023,0,0,0
0.2,-0.565826389140319,-0.565826389140319,0,0,0
0.3,-1.38980095937863,-1.38980095937863,0,0,0
0.4,-1.5118712660806,-1.5118712660806,0,0,0
0.5,-0.504791235789329,-0.504791235789329,0,0,0
0.6,-0.0470275856569402,-0.0470275856569402,0,0,0
0.7,-0.657379119166793,-0.657379119166793,0,0,0
0.8,-1.05410761594821,-1.05410761594821,0,0,0
0.9,-2.03067006956398,-2.03067006956398,0,0,0
1,-1.78652945616003,-1.78652945616003,0,0,0
1.1,-0.565826389140319,-0.565826389140319,0,0,0
1.2,-0.840484579219754,-0.840484579219754,0,0,0
1.3,-0.47427365911384,-0.47427365911384,0,0,0
1.4,0.685394254554894,0.685394254554894,0,0,0
1.5,0.0750427210450347,0.0750427210450347,0,0,0
1.6,-0.321685775736376,-0.321685775736376,0,0,0
1.7,0.197113027747009,0.197113027747009,0,0,0
1.8,0.532806371177428,0.532806371177428,0,0,0
1.9,-0.169097892358905,-0.169097892358905,0,0,0
2,-1.05410761594821,-1.05410761594821,0,0,0
2.1,0.166595451071509,0.166595451071509,0,0,0
2.2,-1.05410761594821,-1.05410761594821,0,0,0
2.3,-1.48135368940511,-1.48135368940511,0,0,0
2.4,-1.05410761594821,-1.05410761594821,0,0,0
2.5,-0.718414272517779,-0.718414272517779,0,0,0
2.6,-1.02359003927271,-1.02359003927271,0,0,0
2.7,-3.40396101996115,-3.40396101996115,0,0,0
2.8,-2.15274037626595,-2.15274037626595,0,0,0
2.9,-0.657379119166797,-0.657379119166797,0,0,0
3,-0.169097892358912,-0.169097892358912,0,0,0
3.1,-1.05410761594821,-1.05410761594821,0,0,0
3.2,-1.02359003927271,-1.02359003927271,0,0,0
3.3,-0.230133045709898,-0.230133045709898,0,0,0
3.4,0.197113027747005,0.197113027747005,0,0,0
3.5,0.715911831230383,0.715911831230383,0,0,0
3.6,-1.4813536894051,-1.4813536894051,0,0,0
3.7,-2.3358458363189,-2.3358458363189,0,0,0
3.8,-0.382720929087358,-0.382720929087358,0,0,0
3.9,0.532806371177425,0.532806371177425,0,0,0
4,0.807464561256865,0.807464561256865,0,0,0
4.1,-1.72549430280904,-1.72549430280904,0,0,0
4.2,-0.0470275856569402,-0.0470275856569402,0,0,0
4.3,0.715911831230387,0.715911831230387,0,0,0
4.4,-1.84756460951102,-1.84756460951102,0,0,0
4.5,-2.3663634129944,-2.3663634129944,0,0,0
4.6,-0.413238505762851,-0.413238505762851,0,0,0
4.7,-0.779449425868765,-0.779449425868765,0,0,0
4.8,-0.932037309246232,-0.932037309246232,0,0,0
4.9,-0.0470275856569366,-0.0470275856569366,0,0,0
5,-0.0470275856569366,-0.0470275856569366,0,0,0
5.1,-1.02359003927271,-1.02359003927271,0,0,0
5.2,-1.05410761594821,-1.05410761594821,0,0,0
5.3,-0.626861542491297,-0.626861542491297,0,0,0
5.4,-0.687896695842283,-0.687896695842283,0,0,0
5.5,-2.09170522291496,-2.09170522291496,0,0,0
5.6,-3.31240828993467,-3.31240828993467,0,0,0
5.7,-2.06118764623947,-2.06118764623947,0,0,0
5.8,-1.45083611272961,-1.45083611272961,0,0,0
5.9,-1.75601187948454,-1.75601187948454,0,0,0
6,-1.02359003927271,-1.02359003927271,0,0,0
6.1,-0.291168199060883,-0.291168199060883,0,0,0
6.2,-0.962554885921722,-0.962554885921722,0,0,0
6.3,-0.596343965815808,-0.596343965815808,0,0,0
6.4,0.014007567694049,0.014007567694049,0,0,0
6.5,-0.779449425868765,-0.779449425868765,0,0,0
6.6,-1.5118712660806,-1.5118712660806,0,0,0
6.7,-1.38980095937863,-1.38980095937863,0,0,0
6.8,-0.504791235789329,-0.504791235789329,0,0,0
6.9,-1.38980095937863,-1.38980095937863,0,0,0
7,-1.0541076159482,-1.0541076159482,0,0,0
7.1,-0.90151973257074,-0.90151973257074,0,0,0
7.2,-0.6268615424913,-0.6268615424913,0,0,0
7.3,-0.565826389140311,-0.565826389140311,0,0,0
7.4,-0.779449425868768,-0.779449425868768,0,0,0
7.5,-1.78652945616003,-1.78652945616003,0,0,0
7.6,-1.05410761594821,-1.05410761594821,0,0,0
7.7,-0.443756082438347,-0.443756082438347,0,0,0
7.8,-0.352203352411865,-0.352203352411865,0,0,0
7.9,-1.23721307600116,-1.23721307600116,0,0,0
8,-2.18325795294144,-2.18325795294144,0,0,0
8.1,-1.69497672613355,-1.69497672613355,0,0,0
8.2,-1.60342399610708,-1.60342399610708,0,0,0
8.3,0.0445251443695419,0.0445251443695419,0,0,0
8.4,-1.38980095937862,-1.38980095937862,0,0,0
8.5,-1.0541076159482,-1.0541076159482,0,0,0
8.6,-0.809967002544261,-0.809967002544261,0,0,0
8.7,0.166595451071513,0.166595451071513,0,0,0
