"x","y","yfilter","yfit","yfit1","yfit2"
0,-2.39773833113091,-2.39773833113091,0,0,0
0.05,-2.42750023835533,-2.42750023835533,0,0,0
0.1,-1.0584525060322,-1.0584525060322,0,0,0
0.15,-3.58821462010754,-3.58821462010754,0,0,0
0.2,-1.71321446496935,-1.71321446496935,0,0,0
0.25,-3.4989288984343,-3.4989288984343,0,0,0
0.3,-3.46916699120988,-3.46916699120988,0,0,0
0.35,-3.67750034178079,-3.67750034178079,0,0,0
0.4,-2.07035735166234,-2.07035735166234,0,0,0
0.45,-1.17750013492986,-1.17750013492986,0,0,0
0.5,-0.582261990441543,-0.582261990441543,0,0,0
0.55,-2.21916688778442,-2.21916688778442,0,0,0
0.6,-1.47511920717402,-1.47511920717402,0,0,0
0.65,-2.78464312504832,-2.78464312504832,0,0,0
0.7,-3.17154824938924,-3.17154824938924,0,0,0
0.75,-3.85607178512729,-3.85607178512729,0,0,0
0.8,-2.15964307333559,-2.15964307333559,0,0,0
0.85,-3.35011936231222,-3.35011936231222,0,0,0
0.9,-2.90369075394598,-2.90369075394598,0,0,0
0.95,-2.33821451668208,-2.33821451668208,0,0,0
1,-2.9334526611704,-2.9334526611704,0,0,0
1.05,-2.84416693949715,-2.84416693949715,0,0,0
1.1,-3.17154791896572,-3.17154791896572,0,0,0
1.15,-4.57035755851327,-4.57035755851327,0,0,0
1.2,-2.39773833113091,-2.39773833113091,0,0,0
1.25,-4.12392895014703,-4.12392895014703,0,0,0
1.3,-3.35011936231222,-3.35011936231222,0,0,0
1.35,-2.78464312504832,-2.78464312504832,0,0,0
1.4,-2.75488154824742,-2.75488154824742,0,0,0
1.45,-2.57631010490093,-2.57631010490093,0,0,0
1.5,-1.86202400109143,-1.86202400109143,0,0,0
1.55,-1.65369098094404,-1.65369098094404,0,0,0
1.6,-2.18940498056,-2.18940498056,0,0,0
1.65,-2.72511931059949,-2.72511931059949,0,0,0
1.7,-2.7548812178239,-2.7548812178239,0,0,0
1.75,-3.23107173341455,-3.23107173341455,0,0,0
1.8,-2.90369075394598,-2.90369075394598,0,0,0
1.85,-2.7548812178239,-2.7548812178239,0,0,0
1.9,-1.59416683607168,-1.59416683607168,0,0,0
1.95,-0.522738506416231,-0.522738506416231,0,0,0
2,-1.65369098094404,-1.65369098094404,0,0,0
2.05,-1.77273827941818,-1.77273827941818,0,0,0
2.1,-1.77273827941818,-1.77273827941818,0,0,0
2.15,-0.612023897665959,-0.612023897665959,0,0,0
2.2,-1.17750046535338,-1.17750046535338,0,0,0
2.25,-2.45726247600326,-2.45726247600326,0,0,0
2.3,-2.45726214557974,-2.45726214557974,0,0,0
2.35,-1.47511953759754,-1.47511953759754,0,0,0
2.4,-2.01083353721351,-2.01083353721351,0,0,0
2.45,-3.11202377409337,-3.11202377409337,0,0,0
2.5,-3.73702415622962,-3.73702415622962,0,0,0
2.55,-1.50488111439844,-1.50488111439844,0,0,0
2.6,-1.89178590831584,-1.89178590831584,0,0,0
2.65,-2.39773800070739,-2.39773800070739,0,0,0
2.7,-2.12988116611117,-2.12988116611117,0,0,0
2.75,-2.81440470184921,-2.81440470184921,0,0,0
2.8,-1.44535696952609,-1.44535696952609,0,0,0
2.85,-3.82630954747935,-3.82630954747935,0,0,0
2.9,-2.42749990793181,-2.42749990793181,0,0,0
2.95,-2.30845293988118,-2.30845293988118,0,0,0
3,-1.98107162998909,-1.98107162998909,0,0,0
3.05,-2.0405951140144,-2.0405951140144,0,0,0
3.1,-1.20726204215428,-1.20726204215428,0,0,0
3.15,-3.61797619690844,-3.61797619690844,0,0,0
3.2,-1.95130972276467,-1.95130972276467,0,0,0
3.25,-0.969167114782468,-0.969167114782468,0,0,0
3.3,-2.3679764239065,-2.3679764239065,0,0,0
3.35,-1.35607157827636,-1.35607157827636,0,0,0
3.4,-0.463214691967399,-0.463214691967399,0,0,0
3.45,-1.32630967105194,-1.32630967105194,0,0,0
3.5,-1.14773822770545,-1.14773822770545,0,0,0
3.55,-2.45726214557974,-2.45726214557974,0,0,0
3.6,-1.02869059880778,-1.02869059880778,0,0,0
3.65,-0.165595289299722,-0.165595289299722,0,0,0
3.7,-0.0167860836011623,-0.0167860836011623,0,0,0
3.75,1.08440448370222,1.08440448370222,0,0,0
3.8,-0.850119155461286,-0.850119155461286,0,0,0
3.85,-1.74297637219376,-1.74297637219376,0,0,0
3.9,-1.0584525060322,-1.0584525060322,0,0,0
3.95,-0.850119155461286,-0.850119155461286,0,0,0
4,-1.44535729994961,-1.44535729994961,0,0,0
4.05,-1.47511920717402,-1.47511920717402,0,0,0
4.1,-3.61797652733196,-3.61797652733196,0,0,0
4.15,-1.92154748511674,-1.92154748511674,0,0,0
4.2,-0.909642969910117,-0.909642969910117,0,0,0
4.25,-1.0584525060322,-1.0584525060322,0,0,0
4.3,-1.53464269119933,-1.53464269119933,0,0,0
4.35,-1.11797632048103,-1.11797632048103,0,0,0
4.4,-0.731071526563622,-0.731071526563622,0,0,0
4.45,-1.653690320097,-1.653690320097,0,0,0
4.5,-0.135833382075306,-0.135833382075306,0,0,0
4.55,-0.0465476604020589,-0.0465476604020589,0,0,0
4.6,-1.23702427980221,-1.23702427980221,0,0,0
4.65,-0.225119434172073,-0.225119434172073,0,0,0
4.7,-1.80249985621908,-1.80249985621908,0,0,0
4.75,-1.74297637219376,-1.74297637219376,0,0,0
4.8,-0.284642587773866,-0.284642587773866,0,0,0
4.85,-0.701309619339206,-0.701309619339206,0,0,0
4.9,-0.790595341012454,-0.790595341012454,0,0,0
4.95,-0.492976599191815,-0.492976599191815,0,0,0
5,0.370119040739762,0.370119040739762,0,0,0
5.05,0.846309556330415,0.846309556330415,0,0,0
5.1,0.161785690168852,0.161785690168852,0,0,0
5.15,0.905833370779247,0.905833370779247,0,0,0
5.2,-0.135833051651787,-0.135833051651787,0,0,0
5.25,0.876071463554831,0.876071463554831,0,0,0
5.3,0.0724999684956044,0.0724999684956044,0,0,0
5.35,-0.195357196524138,-0.195357196524138,0,0,0
5.4,-0.0465479908255781,-0.0465479908255781,0,0,0
5.45,0.548690484086257,0.548690484086257,0,0,0
5.5,0.132024113367955,0.132024113367955,0,0,0
5.55,0.578452391310673,0.578452391310673,0,0,0
5.6,0.191547597393268,0.191547597393268,0,0,0
5.65,-0.879881062685701,-0.879881062685701,0,0,0
5.7,-0.492976268768296,-0.492976268768296,0,0,0
5.75,-0.82035691781335,-0.82035691781335,0,0,0
5.8,0.608214298535089,0.608214298535089,0,0,0
5.85,1.14392862857457,1.14392862857457,0,0,0
5.9,0.727261927432752,0.727261927432752,0,0,0
5.95,0.161785690168852,0.161785690168852,0,0,0
6,0.935595278003663,0.935595278003663,0,0,0
6.05,0.518928246438322,0.518928246438322,0,0,0
6.1,0.0427380612711886,0.0427380612711886,0,0,0
6.15,-0.522738175992712,-0.522738175992712,0,0,0
6.2,-0.522738506416231,-0.522738506416231,0,0,0
6.25,0.578452060887154,0.578452060887154,0,0,0
6.3,0.10226220614354,0.10226220614354,0,0,0
6.35,-1.41559506230167,-1.41559506230167,0,0,0
6.4,-1.05845217560868,-1.05845217560868,0,0,0
6.45,0.0724999684956044,0.0724999684956044,0,0,0
6.5,-1.89178590831584,-1.89178590831584,0,0,0
6.55,-1.14773822770545,-1.14773822770545,0,0,0
6.6,-1.26678585660311,-1.26678585660311,0,0,0
6.65,-2.15964307333559,-2.15964307333559,0,0,0
6.7,-1.53464302162285,-1.53464302162285,0,0,0
6.75,-1.74297637219376,-1.74297637219376,0,0,0
6.8,-1.50488078397492,-1.50488078397492,0,0,0
6.85,-0.612023897665959,-0.612023897665959,0,0,0
6.9,-0.998928691583364,-0.998928691583364,0,0,0
6.95,-1.68345255774493,-1.68345255774493,0,0,0
7,-0.552500083217127,-0.552500083217127,0,0,0
7.05,0.161785690168852,0.161785690168852,0,0,0
7.1,-0.552500083217127,-0.552500083217127,0,0,0
7.15,-0.225119103748554,-0.225119103748554,0,0,0
7.2,-0.492976599191815,-0.492976599191815,0,0,0
7.25,-0.850118825037766,-0.850118825037766,0,0,0
7.3,-1.32630967105194,-1.32630967105194,0,0,0
7.35,-0.790595671435973,-0.790595671435973,0,0,0
7.4,-1.80250018664259,-1.80250018664259,0,0,0
7.45,-2.04059544443792,-2.04059544443792,0,0,0
7.5,-1.08821441325662,-1.08821441325662,0,0,0
7.55,-0.314404825421801,-0.314404825421801,0,0,0
7.6,-1.32630967105194,-1.32630967105194,0,0,0
7.65,-1.92154781554026,-1.92154781554026,0,0,0
7.7,-2.99297614519571,-2.99297614519571,0,0,0
7.75,-2.2191665573609,-2.2191665573609,0,0,0
7.8,-2.04059544443792,-2.04059544443792,0,0,0
7.85,-1.65369065052052,-1.65369065052052,0,0,0
7.9,-1.29654743340401,-1.29654743340401,0,0,0
7.95,0.0427380612711886,0.0427380612711886,0,0,0
8,-1.35607124785284,-1.35607124785284,0,0,0
8.05,-0.790595341012454,-0.790595341012454,0,0,0
8.1,-0.10607147485089,-0.10607147485089,0,0,0
8.15,0.548690484086257,0.548690484086257,0,0,0
8.2,-0.492976268768296,-0.492976268768296,0,0,0
8.25,-0.909642969910117,-0.909642969910117,0,0,0
8.3,-0.790595341012454,-0.790595341012454,0,0,0
8.35,-1.26678585660311,-1.26678585660311,0,0,0
8.4,-1.95130972276467,-1.95130972276467,0,0,0
8.45,0.0724999684956044,0.0724999684956044,0,0,0
8.5,-0.195357196524138,-0.195357196524138,0,0,0
8.55,-0.433452454319464,-0.433452454319464,0,0,0
8.6,-1.77273827941818,-1.77273827941818,0,0,0
8.65,-1.26678585660311,-1.26678585660311,0,0,0
8.7,-1.02869059880778,-1.02869059880778,0,0,0
8.75,0.757023504233649,0.757023504233649,0,0,0
8.8,-0.969167114782468,-0.969167114782468,0,0,0
8.85,0.132023452520917,0.132023452520917,0,0,0
8.9,-1.35607157827636,-1.35607157827636,0,0,0
8.95,-0.492976268768296,-0.492976268768296,0,0,0
9,-0.522738175992712,-0.522738175992712,0,0,0
9.05,-0.344167063069736,-0.344167063069736,0,0,0
9.1,-0.225119434172073,-0.225119434172073,0,0,0
9.15,-1.08821441325662,-1.08821441325662,0,0,0
9.2,-0.731071526563622,-0.731071526563622,0,0,0
9.25,-1.02869059880778,-1.02869059880778,0,0,0
9.3,-2.39773833113091,-2.39773833113091,0,0,0
9.35,-1.47511953759754,-1.47511953759754,0,0,0
9.4,-0.582262320865062,-0.582262320865062,0,0,0
9.45,-1.44535729994961,-1.44535729994961,0,0,0
9.5,-1.59416683607168,-1.59416683607168,0,0,0
9.55,-2.1596434037591,-2.1596434037591,0,0,0
9.6,-2.04059544443792,-2.04059544443792,0,0,0
9.65,-0.671547712114791,-0.671547712114791,0,0,0
9.7,0.310595226290931,0.310595226290931,0,0,0
9.75,-0.998928691583364,-0.998928691583364,0,0,0
9.8,-0.731071526563622,-0.731071526563622,0,0,0
9.85,-0.314404825421801,-0.314404825421801,0,0,0
9.9,-1.95130972276467,-1.95130972276467,0,0,0
9.95,-2.63583358892624,-2.63583358892624,0,0,0
10,-0.998928691583364,-0.998928691583364,0,0,0
10.05,-1.98107162998909,-1.98107162998909,0,0,0
10.1,-2.87392884672156,-2.87392884672156,0,0,0
10.15,-3.08226219729247,-3.08226219729247,0,0,0
10.2,-3.35011936231222,-3.35011936231222,0,0,0
10.25,-2.15964307333559,-2.15964307333559,0,0,0
10.3,-1.98107162998909,-1.98107162998909,0,0,0
10.35,-2.27869070223325,-2.27869070223325,0,0,0
10.4,-2.12988116611117,-2.12988116611117,0,0,0
10.45,-0.998928691583364,-0.998928691583364,0,0,0
10.5,-2.96321456839481,-2.96321456839481,0,0,0
10.55,-1.95130972276467,-1.95130972276467,0,0,0
10.6,0.191547597393268,0.191547597393268,0,0,0
10.65,-0.969166784358949,-0.969166784358949,0,0,0
10.7,-1.50488111439844,-1.50488111439844,0,0,0
10.75,-1.6239287432961,-1.6239287432961,0,0,0
10.8,-0.225119103748554,-0.225119103748554,0,0,0
10.85,-1.53464302162285,-1.53464302162285,0,0,0
10.9,-1.20726204215428,-1.20726204215428,0,0,0
10.95,-1.0584525060322,-1.0584525060322,0,0,0
11,-1.14773822770545,-1.14773822770545,0,0,0
11.05,-0.760833433788038,-0.760833433788038,0,0,0
11.1,-2.07035735166234,-2.07035735166234,0,0,0
11.15,-1.98107162998909,-1.98107162998909,0,0,0
11.2,0.310594895867412,0.310594895867412,0,0,0
11.25,-2.10011925888675,-2.10011925888675,0,0,0
11.3,-1.20726204215428,-1.20726204215428,0,0,0
11.35,-3.61797652733196,-3.61797652733196,0,0,0
11.4,-1.83226209386701,-1.83226209386701,0,0,0
11.45,-1.83226209386701,-1.83226209386701,0,0,0
11.5,-1.80250018664259,-1.80250018664259,0,0,0
11.55,-1.23702394937869,-1.23702394937869,0,0,0
11.6,-0.522738175992712,-0.522738175992712,0,0,0
11.65,-2.39773833113091,-2.39773833113091,0,0,0
11.7,-0.998928691583364,-0.998928691583364,0,0,0
11.75,-1.65369065052052,-1.65369065052052,0,0,0
11.8,-3.61797652733196,-3.61797652733196,0,0,0
11.85,-1.95130972276467,-1.95130972276467,0,0,0
11.9,-1.11797665090455,-1.11797665090455,0,0,0
11.95,-1.47511920717402,-1.47511920717402,0,0,0
12,-1.44535763037312,-1.44535763037312,0,0,0
12.05,-2.63583358892624,-2.63583358892624,0,0,0
12.1,-0.760833433788038,-0.760833433788038,0,0,0
12.15,-2.18940498056,-2.18940498056,0,0,0
12.2,-2.30845260945766,-2.30845260945766,0,0,0
12.25,-2.21916688778442,-2.21916688778442,0,0,0
12.3,-1.56440492884727,-1.56440492884727,0,0,0
12.35,-1.35607157827636,-1.35607157827636,0,0,0
