"Afast","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area","Aslow","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area"
-40.324,44.139,45.554,44.839,17.576,97.317,18.701,109.703,4915.577,-92.461,30.138,302.045,77.16,27.376,420.366,0,302.953,36055.783
-84.684,3.479,27.945,8.28,2.991,39.049,18.425,29.669,3182.557,-212.18,14.423,397.579,49.635,15.882,551.176,11.409,331.375,95575.627
0,NA,NA,NA,NA,NA,NA,NA,0,-75.259,23.13,95.886,43.349,16.359,138.92,3.22,125.692,11341.01
-5.501,2.896,2.897,2.896,1.135,6.285,4.65,7.086,43.313,0,NA,NA,NA,NA,NA,NA,NA,0
-44.356,3.731,3.733,3.732,1.463,8.099,4.863,9.131,450.016,-46.596,16.404,131.338,38.994,14.092,183.54,9.2,139.559,8235.392
-79.585,3.578,10.546,5.853,2.245,15.994,4.978,15.764,1462.065,-136.464,25.866,80.136,43.19,16.529,120.522,18.61,117.413,18746.101
-111.791,3.809,3.81,3.809,1.493,8.266,9.433,9.319,1157.552,-116.479,44.385,44.435,44.41,17.408,96.366,1.004,108.644,14061.301
-25.52,5.794,5.835,5.815,2.279,12.617,0,14.225,403.364,-41.088,17.105,62.083,30.436,11.564,91.289,5.918,85.512,4164.856
-18.417,6.678,6.725,6.701,2.627,14.542,4.433,16.394,335.484,-14.573,27.12,47.375,35.384,13.79,81.715,0.8,88.753,1456.979
-67.863,46.56,46.57,46.565,18.253,101.042,1.3,113.916,8589.927,0,NA,NA,NA,NA,NA,NA,NA,0
-133.463,2.58,18.606,5.918,2.156,26.076,12.574,20.358,3413.101,-30.936,16.9,151.819,41.749,14.949,211.651,0,156.484,6183.354
-73.778,3.159,3.159,3.159,1.238,6.855,5.184,7.729,633.6,-105.299,11.634,79.918,26.239,9.592,112.183,10.317,88.689,11685.812
-28.31,9,30.132,15.507,5.915,44.788,5.121,42.817,1427.167,-22.239,7.095,177.31,23.788,7.698,245.816,21.671,149.78,4509.275
-33.94,4.944,4.953,4.949,1.94,10.738,4.505,12.106,456.553,-19.233,13.968,157.468,37.13,13.038,218.861,11,153.65,3833.854
-2.862,0.062,42.096,0.405,0.084,58.357,0.073,29.603,121.639,-17.141,3.828,468.389,18.552,4.888,649.326,9.156,344.54,8352.819
0,NA,NA,NA,NA,NA,NA,NA,0,-109.537,9.561,194.917,30.313,10.035,270.261,21.749,169.772,24943.173
-49.564,5.469,20.191,9.797,3.72,29.628,7.016,27.633,1625.776,-112.524,4.09,63.897,12.011,4.088,88.641,24.185,58.283,8676.8
-50.95,5.148,5.153,5.151,2.019,11.176,7.869,12.6,713.342,-266.232,10.961,112.875,28.309,10.02,157.038,19.423,112.479,38617.205
-66.809,1.588,11.944,3.695,1.342,16.719,23.83,12.913,1087.303,-41.555,23.958,132.212,49.979,18.546,187.424,7.033,157.022,8018.106
0,NA,NA,NA,NA,NA,NA,NA,0,-15.893,6.38,505.789,28.256,7.902,701.173,0,381.152,8500.35
-8.659,3.03,3.035,3.032,1.189,6.58,12.376,7.419,71.382,-34.446,14.56,65.25,28.113,10.564,93.859,6.32,83.174,3458.102
