"s","condition","cell_type","amplitude"
"1","fast","ctrl",-220.164
"2","fast","ctrl",-209.979
"3","fast","ctrl",-153.456
"4","fast","ctrl",-329.53
"5","fast","ctrl",-212.335
"6","fast","ctrl",-333.218
"7","fast","ctrl",-150.467
"8","fast","ctrl",-270.866
"9","fast","ctrl",-40.38
"10","fast","ctrl",-256.262
"11","fast","ctrl",-361.732
"12","fast","ctrl",-139.589
"13","fast","ctrl",-75.658
"14","fast","ctrl",-139.108
"15","fast","ctrl",-286.536
"16","fast","ctrl",-195.485
"17","fast","ctrl",-182.153
"18","fast","ctrl",-319.336
"19","fast","ctrl",-48.782
"20","fast","ctrl",-106.675
"21","fast","ctrl",-182.692
"1","slow","ctrl",-116.954
"2","slow","ctrl",-164.028
"3","slow","ctrl",-80.148
"4","slow","ctrl",-311.263
"5","slow","ctrl",-119.149
"6","slow","ctrl",-265.299
"7","slow","ctrl",-217.347
"8","slow","ctrl",-166.315
"9","slow","ctrl",-164.359
"10","slow","ctrl",-173.385
"11","slow","ctrl",-129.936
"12","slow","ctrl",-316.958
"13","slow","ctrl",-40.238
"14","slow","ctrl",-128.696
"15","slow","ctrl",-295.767
"16","slow","ctrl",-74.968
"17","slow","ctrl",-85.369
"18","slow","ctrl",-419.952
"19","slow","ctrl",-48.029
"20","slow","ctrl",-37.134
"21","slow","ctrl",-124.471
"22","fast","OHDA",-40.324
"23","fast","OHDA",-84.684
"24","fast","OHDA",0
"25","fast","OHDA",-5.501
"26","fast","OHDA",-44.356
"27","fast","OHDA",-79.585
"28","fast","OHDA",-111.791
"29","fast","OHDA",-25.52
"30","fast","OHDA",-18.417
"31","fast","OHDA",-67.863
"32","fast","OHDA",-133.463
"33","fast","OHDA",-73.778
"34","fast","OHDA",-28.31
"35","fast","OHDA",-33.94
"36","fast","OHDA",-2.862
"37","fast","OHDA",0
"38","fast","OHDA",-49.564
"39","fast","OHDA",-50.95
"40","fast","OHDA",-66.809
"41","fast","OHDA",0
"42","fast","OHDA",-8.659
"22","slow","OHDA",-92.461
"23","slow","OHDA",-212.18
"24","slow","OHDA",-75.259
"25","slow","OHDA",0
"26","slow","OHDA",-46.596
"27","slow","OHDA",-136.464
"28","slow","OHDA",-116.479
"29","slow","OHDA",-41.088
"30","slow","OHDA",-14.573
"31","slow","OHDA",0
"32","slow","OHDA",-30.936
"33","slow","OHDA",-105.299
"34","slow","OHDA",-22.239
"35","slow","OHDA",-19.233
"36","slow","OHDA",-17.141
"37","slow","OHDA",-109.537
"38","slow","OHDA",-112.524
"39","slow","OHDA",-266.232
"40","slow","OHDA",-41.555
"41","slow","OHDA",-15.893
"42","slow","OHDA",-34.446
