"s","cell_type","amplitude"
"1","ctrl",-273.760576520647
"2","ctrl",-345.51978515625
"3","ctrl",-157.355938946759
"4","ctrl",-562.075749755779
"5","ctrl",-318.978681513159
"6","ctrl",-587.952032454643
"7","ctrl",-294.35789849569
"8","ctrl",-393.619153348998
"9","ctrl",-178.801710485595
"10","ctrl",-365.646015827382
"11","ctrl",-457.973353039784
"12","ctrl",-399.199428913925
"13","ctrl",-117.668499530005
"14","ctrl",-270.134185222579
"15","ctrl",-493.769540504321
"16","ctrl",-243.368123622102
"17","ctrl",-247.692389993107
"18","ctrl",-421.749738420759
"19","ctrl",-95.7278442382812
"20","ctrl",-142.871163504464
"21","ctrl",-290.235504150391
"22","OHDA",-165.358588324653
"23","OHDA",-268.474380493164
"24","OHDA",-91.3478355709166
"25","OHDA",-9.3884644619257
"26","OHDA",-56.7748016065683
"27","OHDA",-140.844006710663
"28","OHDA",-180.380769874497
"29","OHDA",-43.6747283285066
"30","OHDA",-28.6772435748023
"31","OHDA",-88.1651343170401
"32","OHDA",-171.081612100289
"33","OHDA",-121.488325683889
"34","OHDA",-45.1069957030766
"35","OHDA",-33.909644444733
"36","OHDA",-28.1636555989583
"37","OHDA",-123.749076511549
"38","OHDA",-145.315966796875
"39","OHDA",-282.942911783854
"40","OHDA",-100.796245868389
"41","OHDA",-24.3887721470424
"42","OHDA",-39.5271136944111
