"s","cell_type","charge_transfer"
"1","ctrl",52.2157274285319
"2","ctrl",99.7354589059081
"3","ctrl",37.9317711769516
"4","ctrl",115.619911680862
"5","ctrl",54.6421734173479
"6","ctrl",97.7553661053437
"7","ctrl",66.9605531501271
"8","ctrl",73.5827692838116
"9","ctrl",43.8781688424286
"10","ctrl",70.5306448190817
"11","ctrl",108.932211311938
"12","ctrl",107.123072789302
"13","ctrl",20.9331935754186
"14","ctrl",71.3992196994347
"15","ctrl",91.7764670872246
"16","ctrl",37.3302493255777
"17","ctrl",50.6898238033946
"18","ctrl",126.143522608267
"19","ctrl",24.4425700081654
"20","ctrl",32.9429356523007
"21","ctrl",79.4188057594785
"22","OHDA",22.8025815843931
"23","OHDA",36.8156082490199
"24","OHDA",24.0444991181544
"25","OHDA",0.494861882177617
"26","OHDA",14.804780370121
"27","OHDA",40.5771485886636
"28","OHDA",46.3517418034269
"29","OHDA",11.4566618808035
"30","OHDA",6.58848827276165
"31","OHDA",21.6155528089313
"32","OHDA",27.9412024592065
"33","OHDA",30.5555744066307
"34","OHDA",10.0176892432806
"35","OHDA",4.07208449520984
"36","OHDA",2.4339977913821
"37","OHDA",24.0855178074897
"38","OHDA",34.681648046518
"39","OHDA",71.6003790024007
"40","OHDA",16.9157315259172
"41","OHDA",3.22419519895256
"42","OHDA",13.4664335743937
