"Afast","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area","Aslow","τrise","τdecay","tpeak","r20_80","d80_20","delay","half_width","area"
-220.164,16.024,38.401,24.034,9.287,60.705,1.73,62.565,15808.673,-116.954,150.694,216.575,179.67,70.256,400.291,0,491.657,58064.832
-209.979,10.303,44.102,19.548,7.364,63.698,0,57.143,14425.347,-164.028,19.247,214.875,51.005,17.926,298.679,0,210.13,44688.418
-153.456,16.487,21.373,18.719,7.329,41.172,0,46.041,7874.352,-80.148,17.072,444.969,57.885,18.642,616.882,24.795,373.687,40617.824
-329.53,1.941,8.654,3.741,1.406,12.454,9.936,11.052,4393.885,-311.263,12.565,80.539,27.659,10.161,113.351,3.938,91.25,35341.333
-212.335,1.003,21.455,3.223,1.062,29.748,10.265,18.547,5294.29,-119.149,13.879,138.767,35.507,12.601,193.133,1.974,139.266,21355.19
-333.218,0.752,16.981,2.454,0.803,23.543,9.822,14.559,6538.07,-265.299,8.818,104.141,23.785,8.317,144.684,3.021,100.565,34717.143
-150.467,2.876,2.877,2.876,1.128,6.241,13.433,7.037,1176.462,-217.347,9.073,61.668,20.387,7.459,86.598,11.03,68.65,18654.949
-270.866,2.367,11.037,4.639,1.739,15.825,13.274,13.874,4551.671,-166.315,22.162,56.258,34.065,13.138,87.81,6.373,89.449,17142.961
-40.38,4.581,4.585,4.583,1.797,9.945,4.577,11.212,503.063,-164.359,2.585,71.53,8.904,2.848,99.164,10.161,59.587,13314.97
-256.262,1.273,10.077,3.014,1.09,14.085,10.123,10.74,3482.612,-173.385,13.947,77.059,29.108,10.801,109.231,5.24,91.484,19493.133
-361.732,1.359,39.082,4.729,1.506,54.18,9.513,32.394,15955.727,-129.936,14.823,120.452,35.414,12.783,168.268,3.385,127.48,21000.569
-139.589,20.316,20.45,20.383,7.99,44.23,5.867,49.865,7734.252,-316.958,16.438,69.854,31.101,11.722,100.963,29.696,90.749,34558.536
-75.658,2.138,38.211,6.529,2.192,52.991,11.322,34.018,3429.66,-40.238,5.414,234.149,20.876,6.323,324.6,4.683,185.307,10300.301
-139.108,9.176,40.393,17.596,6.619,58.193,13.286,51.815,8686.588,-128.696,16.741,94.55,35.219,13.05,133.863,4.411,111.455,17660.295
-286.536,1.326,5.111,2.416,0.915,7.462,9.621,6.883,2349.554,-295.767,6.831,74.922,18.002,6.337,104.162,6.983,73.567,28178.037
-195.485,1.177,13.549,3.149,1.104,18.828,10.228,13.158,3341.661,-74.968,15.546,73.877,30.687,11.493,105.766,6.127,92.256,8390.45
-182.153,0.931,27.935,3.276,1.038,38.726,10.7,23.029,5721.46,-85.369,25.288,138.186,52.565,19.518,196.002,0.269,164.644,17256.999
-319.336,3.805,3.823,3.814,1.495,8.276,9.881,9.331,3310.742,-419.952,11.176,117.487,29.057,10.267,163.413,16.423,116.506,63182.959
-48.782,12.026,34.055,19.352,7.433,52.016,15.465,51.744,2932.431,-48.029,27.361,148.057,56.671,21.056,210.122,6.654,176.971,10427.107
-106.675,2.691,42.824,7.947,2.7,59.403,11.893,38.928,5499.626,-37.134,11.076,235.267,35.519,11.706,326.195,0,203.589,10160.051
-182.692,10.688,37.403,18.744,7.135,55.258,11.747,52.243,11279.026,-124.471,30.808,121.05,56.552,21.402,176.356,6.96,161.835,24039.492
