"s","condition","cell_type","tau"
"1","fast","ctrl",38.401
"2","fast","ctrl",44.102
"3","fast","ctrl",21.373
"4","fast","ctrl",8.654
"5","fast","ctrl",21.455
"6","fast","ctrl",16.981
"7","fast","ctrl",2.877
"8","fast","ctrl",11.037
"9","fast","ctrl",4.585
"10","fast","ctrl",10.077
"11","fast","ctrl",39.082
"12","fast","ctrl",20.45
"13","fast","ctrl",38.211
"14","fast","ctrl",40.393
"15","fast","ctrl",5.111
"16","fast","ctrl",13.549
"17","fast","ctrl",27.935
"18","fast","ctrl",3.823
"19","fast","ctrl",34.055
"20","fast","ctrl",42.824
"21","fast","ctrl",37.403
"1","slow","ctrl",216.575
"2","slow","ctrl",214.875
"3","slow","ctrl",444.969
"4","slow","ctrl",80.539
"5","slow","ctrl",138.767
"6","slow","ctrl",104.141
"7","slow","ctrl",61.668
"8","slow","ctrl",56.258
"9","slow","ctrl",71.53
"10","slow","ctrl",77.059
"11","slow","ctrl",120.452
"12","slow","ctrl",69.854
"13","slow","ctrl",234.149
"14","slow","ctrl",94.55
"15","slow","ctrl",74.922
"16","slow","ctrl",73.877
"17","slow","ctrl",138.186
"18","slow","ctrl",117.487
"19","slow","ctrl",148.057
"20","slow","ctrl",235.267
"21","slow","ctrl",121.05
"22","fast","OHDA",45.554
"23","fast","OHDA",27.945
"24","fast","OHDA",NA
"25","fast","OHDA",2.897
"26","fast","OHDA",3.733
"27","fast","OHDA",10.546
"28","fast","OHDA",3.81
"29","fast","OHDA",5.835
"30","fast","OHDA",6.725
"31","fast","OHDA",46.57
"32","fast","OHDA",18.606
"33","fast","OHDA",3.159
"34","fast","OHDA",30.132
"35","fast","OHDA",4.953
"36","fast","OHDA",42.096
"37","fast","OHDA",NA
"38","fast","OHDA",20.191
"39","fast","OHDA",5.153
"40","fast","OHDA",11.944
"41","fast","OHDA",NA
"42","fast","OHDA",3.035
"22","slow","OHDA",302.045
"23","slow","OHDA",397.579
"24","slow","OHDA",95.886
"25","slow","OHDA",NA
"26","slow","OHDA",131.338
"27","slow","OHDA",80.136
"28","slow","OHDA",44.435
"29","slow","OHDA",62.083
"30","slow","OHDA",47.375
"31","slow","OHDA",NA
"32","slow","OHDA",151.819
"33","slow","OHDA",79.918
"34","slow","OHDA",177.31
"35","slow","OHDA",157.468
"36","slow","OHDA",468.389
"37","slow","OHDA",194.917
"38","slow","OHDA",63.897
"39","slow","OHDA",112.875
"40","slow","OHDA",132.212
"41","slow","OHDA",505.789
"42","slow","OHDA",65.25
